CDMOFKOB_00048	CDS	279				hypothetical protein
CDMOFKOB_00049	CDS	213				hypothetical protein
CDMOFKOB_00050	CDS	495				hypothetical protein
CDMOFKOB_00051	CDS	210				hypothetical protein
CDMOFKOB_00052	CDS	447				hypothetical protein
CDMOFKOB_00053	CDS	213				hypothetical protein
CDMOFKOB_00054	CDS	246				hypothetical protein
CDMOFKOB_00055	CDS	138				hypothetical protein
CDMOFKOB_00056	CDS	717				hypothetical protein
CDMOFKOB_00057	CDS	1281				hypothetical protein
CDMOFKOB_00058	CDS	1416				hypothetical protein
CDMOFKOB_00059	CDS	1545				hypothetical protein
CDMOFKOB_00060	CDS	210				hypothetical protein
CDMOFKOB_00061	CDS	264				hypothetical protein
CDMOFKOB_00062	CDS	111				hypothetical protein
CDMOFKOB_00063	CDS	174				hypothetical protein
CDMOFKOB_00064	CDS	180				hypothetical protein
CDMOFKOB_00065	CDS	396				hypothetical protein
CDMOFKOB_00066	CDS	402				hypothetical protein
CDMOFKOB_00067	CDS	339				hypothetical protein
CDMOFKOB_00068	CDS	207				hypothetical protein
locus_tag	ftype	length_bp	gene	EC_number	COG	product
DBBIPFDF_00001	CDS	693				hypothetical protein
DBBIPFDF_00002	CDS	435				hypothetical protein
DBBIPFDF_00003	CDS	414				hypothetical protein
DBBIPFDF_00004	CDS	267				hypothetical protein
DBBIPFDF_00005	CDS	270				hypothetical protein
DBBIPFDF_00006	CDS	225				hypothetical protein
DBBIPFDF_00007	CDS	540				hypothetical protein
DBBIPFDF_00008	CDS	1047				hypothetical protein
DBBIPFDF_00009	CDS	543				hypothetical protein
DBBIPFDF_00010	CDS	321				hypothetical protein
DBBIPFDF_00011	CDS	975				hypothetical protein
locus_tag	ftype	length_bp	gene	EC_number	COG	product
locus_tag	ftype	length_bp	gene	EC_number	COG	product
KMNMLLFK_00001	CDS	186				hypothetical protein
locus_tag	ftype	length_bp	gene	EC_number	COG	product
HIGNBKKC_00001	CDS	243				hypothetical protein
HIGNBKKC_00002	CDS	549				hypothetical protein
HIGNBKKC_00003	CDS	231				hypothetical protein
HIGNBKKC_00004	CDS	357				hypothetical protein
HIGNBKKC_00005	CDS	444				hypothetical protein
HIGNBKKC_00006	CDS	648				hypothetical protein
HIGNBKKC_00007	CDS	282				hypothetical protein
HIGNBKKC_00008	CDS	759				hypothetical protein
HIGNBKKC_00009	CDS	384				hypothetical protein
HIGNBKKC_00010	CDS	222				hypothetical protein
HIGNBKKC_00011	CDS	186				hypothetical protein
HIGNBKKC_00012	CDS	189				hypothetical protein
HIGNBKKC_00013	CDS	324				hypothetical protein
HIGNBKKC_00014	CDS	477				hypothetical protein
HIGNBKKC_00015	CDS	525				hypothetical protein
HIGNBKKC_00016	CDS	390				hypothetical protein
HIGNBKKC_00017	CDS	327				hypothetical protein
HIGNBKKC_00018	CDS	405				hypothetical protein
HIGNBKKC_00019	CDS	351				hypothetical protein
HIGNBKKC_00020	CDS	717				hypothetical protein
HIGNBKKC_00021	CDS	321				hypothetical protein
HIGNBKKC_00022	CDS	423				hypothetical protein
HIGNBKKC_00023	CDS	300				hypothetical protein
HIGNBKKC_00024	CDS	207				hypothetical protein
HIGNBKKC_00025	CDS	243				hypothetical protein
HIGNBKKC_00026	CDS	258				hypothetical protein
HIGNBKKC_00027	CDS	198				hypothetical protein
HIGNBKKC_00028	CDS	321				hypothetical protein
locus_tag	ftype	length_bp	gene	EC_number	COG	product
OBGHPENK_00001	CDS	384				hypothetical protein
OBGHPENK_00002	CDS	156				hypothetical protein
OBGHPENK_00003	CDS	171				hypothetical protein
OBGHPENK_00004	CDS	252				hypothetical protein
OBGHPENK_00005	CDS	312				hypothetical protein
OBGHPENK_00006	CDS	243	ssb		COG0629	Single-stranded DNA-binding protein
OBGHPENK_00007	CDS	264				hypothetical protein
OBGHPENK_00008	CDS	381				hypothetical protein
locus_tag	ftype	length_bp	gene	EC_number	COG	product
LOOBCJCH_00001	CDS	225				hypothetical protein
LOOBCJCH_00002	CDS	387				hypothetical protein
LOOBCJCH_00003	CDS	285				hypothetical protein
LOOBCJCH_00004	CDS	228				hypothetical protein
LOOBCJCH_00005	CDS	951				autolysin [Streptococcus pneumoniae TIGR4]
LOOBCJCH_00006	CDS	258				hypothetical protein
LOOBCJCH_00007	CDS	765				hypothetical protein
LOOBCJCH_00008	CDS	333				hypothetical protein
LOOBCJCH_00009	CDS	486				hypothetical protein
LOOBCJCH_00010	CDS	438				hypothetical protein
LOOBCJCH_00011	CDS	726				hypothetical protein
LOOBCJCH_00012	CDS	390				hypothetical protein
LOOBCJCH_00013	CDS	399				hypothetical protein
LOOBCJCH_00014	CDS	546				hypothetical protein
LOOBCJCH_00015	CDS	276				hypothetical protein
LOOBCJCH_00016	CDS	594				hypothetical protein
LOOBCJCH_00017	CDS	1128				hypothetical protein
LOOBCJCH_00018	CDS	393				hypothetical protein
LOOBCJCH_00019	CDS	303				hypothetical protein
LOOBCJCH_00020	CDS	969				hypothetical protein
LOOBCJCH_00021	CDS	693				hypothetical protein
LOOBCJCH_00022	CDS	2226				hypothetical protein
LOOBCJCH_00023	CDS	405	yqbN			putative protein YqbN
LOOBCJCH_00024	CDS	465	xkdM			Phage-like element PBSX protein XkdM
LOOBCJCH_00025	CDS	1314				hypothetical protein
LOOBCJCH_00026	CDS	171				hypothetical protein
LOOBCJCH_00027	CDS	417				hypothetical protein
LOOBCJCH_00028	CDS	492				hypothetical protein
LOOBCJCH_00029	CDS	357				hypothetical protein
LOOBCJCH_00030	CDS	396				hypothetical protein
LOOBCJCH_00031	CDS	993				hypothetical protein
LOOBCJCH_00032	CDS	582				hypothetical protein
LOOBCJCH_00033	CDS	165				hypothetical protein
LOOBCJCH_00034	CDS	264				hypothetical protein
LOOBCJCH_00035	CDS	204				hypothetical protein
LOOBCJCH_00036	CDS	1542				hypothetical protein
LOOBCJCH_00037	CDS	1416				hypothetical protein
LOOBCJCH_00038	CDS	1281				hypothetical protein
LOOBCJCH_00039	CDS	684				hypothetical protein
LOOBCJCH_00040	CDS	408				hypothetical protein
LOOBCJCH_00041	CDS	165				hypothetical protein
LOOBCJCH_00042	CDS	237				hypothetical protein
LOOBCJCH_00043	CDS	357				hypothetical protein
LOOBCJCH_00044	CDS	438				hypothetical protein
LOOBCJCH_00045	CDS	279				hypothetical protein
LOOBCJCH_00046	CDS	489				hypothetical protein
LOOBCJCH_00047	CDS	261				hypothetical protein
LOOBCJCH_00048	CDS	204				hypothetical protein
LOOBCJCH_00049	CDS	498				hypothetical protein
LOOBCJCH_00050	CDS	702				hypothetical protein
LOOBCJCH_00051	CDS	516				hypothetical protein
LOOBCJCH_00052	CDS	333				hypothetical protein
LOOBCJCH_00053	CDS	1344				hypothetical protein
LOOBCJCH_00054	CDS	396				hypothetical protein
LOOBCJCH_00055	CDS	96				hypothetical protein
LOOBCJCH_00056	CDS	339				hypothetical protein
LOOBCJCH_00057	CDS	324				hypothetical protein
LOOBCJCH_00058	CDS	150				hypothetical protein
LOOBCJCH_00059	CDS	1080				hypothetical protein
LOOBCJCH_00060	CDS	729				hypothetical protein
LOOBCJCH_00061	CDS	180				hypothetical protein
LOOBCJCH_00062	CDS	123				hypothetical protein
LOOBCJCH_00063	CDS	144				hypothetical protein
LOOBCJCH_00064	CDS	324				hypothetical protein
LOOBCJCH_00065	CDS	312				hypothetical protein
LOOBCJCH_00066	CDS	258				hypothetical protein
LOOBCJCH_00067	CDS	363				hypothetical protein
LOOBCJCH_00068	CDS	162				hypothetical protein
LOOBCJCH_00069	CDS	147				hypothetical protein
LOOBCJCH_00070	CDS	726				hypothetical protein
LOOBCJCH_00071	CDS	507				hypothetical protein
LOOBCJCH_00072	CDS	210				hypothetical protein
LOOBCJCH_00073	CDS	369				hypothetical protein
LOOBCJCH_00074	CDS	234				hypothetical protein
LOOBCJCH_00075	CDS	264				hypothetical protein
LOOBCJCH_00076	CDS	381				hypothetical protein
LOOBCJCH_00077	CDS	1071				hypothetical protein
LOOBCJCH_00078	CDS	447				hypothetical protein
LOOBCJCH_00079	CDS	1152	xerD			Tyrosine recombinase XerD
locus_tag	ftype	length_bp	gene	EC_number	COG	product
JGMMOMKO_00001	CDS	270				hypothetical protein
